identifier,municipality,location,feature,owner,year_built_replaced,last_inspection,sd_fo_status,rating
ego,Oneonta (Town),0.5 MI SW ONEONTA CITY LI,88I 88I94061062 MACHINERY UN-PASS,NYSDOT,1973,03/15/2016,N,6.00
ego,Oneonta (Town),AT NE ONEONTA CITY LI,88I 88I94062044 NORFOLK SOUTHERN MP,NYSDOT,1973,06/01/2016,N,4.84
ego,Oneonta (Town),AT NE ONEONTA CITY LI,88I 88I94063000 NORFOLK SOUTHERN MP,NYSDOT,1971,06/01/2016,N,4.90
ego,Oneonta (Town),AT CITY OF ONEONTA,205 205 94011301 Norfolk Southern MP.556.79,NYSDOT,1973,10/17/2016,FO,5.87
ego,Oneonta (Town),1 MI E ONEONTA CITY LINE,991F991F94011000 88I 88I94063011,NYSDOT,1973,09/12/2016,N,6.11
ego,Oneonta (Town),1 MI E ONEONTA CITY LINE,991F991F94011000 NORFOLK SOUTHERN M.P.,NYSDOT,1973,06/08/2016,N,5.44
ego,Oneonta (Town),1 MILE N OF WEST ONEONTA,COUNTY ROAD 11 HARRISON CREEK,30 - County,1974,09/02/2015,N,3.74
ego,Oneonta (Town),1 MILE EAST OF ONEONTA,COUNTY ROAD 47 SUSQUEHANNA RIVER,30 - County,1986,06/21/2017,N,5.30
ego,Oneonta (Town),2.0 MI SW OF ONEONTA,COUNTY ROAD 48A SUSQUEHANNA RIVER,30 - County,1973,06/21/2017,N,4.47
ego,Oneonta (Town),0.8 MI W OF WEST ONEONTA,COUNTY ROAD 8 OTEGO CREEK,30 - County,1970,06/20/2017,N,5.21
ego,Oneonta (Town),CITY OF ONEONTA,MAIN STREET SUSQUEHANNA RIVER,NYSDOT,1979,07/15/2015,FO,5.56
ego,Oneonta (Town),1 MI WEST OF WEST ONEONTA,MILL CREEK ROAD W BR OTEGO CREEK,40 - Town,1991,06/13/2016,N,6.33
ego,Oneonta (Town),1 MI SW OF WEST ONEONTA,PONY FARM ROAD MP 557.30  DELAWARE &,60 - Railroad,2011,06/19/2017,N,7.00
ego,Oneonta (Town),0.2 MI E INT NYS RT 7,PONY FARM ROAD OTEGO CREEK,40 - Town,1992,08/08/2016,N,6.77
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
ego,Otego (Town),2.7 MI SW OF OTEGO,77 94031126 BRIAR CREEK,NYSDOT,1933,06/16/2015,SD,4.85
ego,Otego (Town),3.3 MI SW JCT RTS 7 + 23,77 94031183 MILL CREEK,NYSDOT,1931,04/14/2017,N,4.46
ego,Otego (Town),1.4 MI E DELAWARE CL,88I 88I94061014 COUNTY ROAD 48,NYSDOT,1975,04/27/2017,N,5.91
ego,Otego (Town),1.4 MI E DELAWARE CL,88I 88I94061014 COUNTY ROAD 48,NYSDOT,1975,04/27/2017,N,6.15
ego,Otego (Town),2.9 MI E DELAWARE CL,88I 88I94061029 CHAMBERLAIN ROAD,NYSDOT,1975,03/15/2016,N,5.81
ego,Otego (Town),2.9 MI E DELAWARE CL,88I 88I94061029 CHAMBERLAIN ROAD,NYSDOT,1975,03/15/2016,N,6.00
ego,Otego (Town),JCT RTE I88+SUSQUEHANNA R,88I 88I94061046 SUSQUEHANNA RIVER,NYSDOT,1975,05/16/2017,N,6.63
ego,Otego (Town),.5 MI E OF DELAWARE CO LN,991J991J94011001 88I 88I94061005,NYSDOT,1974,08/05/2015,N,5.24
ego,Otego (Town),JCT OTEGO CONN & SUS. RVR,991J991J94011003 MP562.78 DEL HUD,NYSDOT,1974,06/19/2017,N,5.68
ego,Otego (Town),5.5 MI NORTH OF OTEGO,CHURCH HILL ROAD W BR OTSDAWA CREEK,40 - Town,1991,07/05/2017,N,7.00
ego,Otego (Town),2.4 MI SW ONEONTA CITY LI,COUNTY ROAD 48 88I 88I94061043,NYSDOT,1975,06/03/2015,FO,5.31
ego,Otego (Town),1.2 MI N OF OTEGO,COUNTY ROAD 6 W BRN OTSDAWA CRK,30 - County,1932,07/19/2016,SD,5.00
ego,Otego (Town),1 MILE NW OF OTEGO,COUNTY ROAD 7 OTSDAWA CREEK,30 - County,1935,07/19/2017,SD,3.75
ego,Otego (Town),1.5 MILES NORTH OF OTEGO,COUNTY ROAD 7 W BR OTSDAWA CRK,30 - County,1935,06/19/2017,SD,3.52
ego,Otego (Town),0.3 mi NE CR7 @ Lower Gre,LOWER GREEN STREET E BR OTSDAWA CREEK,30 - County,2007,11/23/2015,N,6.64
ego,Otego (Town),1 MI NORTH OF OTEGO,SECORE ROAD OTSDAWA CREEK,40 - Town,1994,08/08/2016,N,5.80
ego,Otego (Town),0.2 mi E CR7 @ Upper Gree,UPPER GREEN STREET E BR OTSDAWA CREEK,30 - County,2013,11/23/2015,N,7.00
ego,Otego (Village),IN OTEGO,77 94031146 FLAX ISLAND CREEK,NYSDOT,1933,04/14/2017,N,4.74
ego,Otego (Village),AT OTEGO,77 94031156 OTSDAWA CREEK,NYSDOT,1933,04/14/2017,FO,5.02
ego,Otsego (Town),2.5 MI NW COOPERSTOWN,28  28 94033236 FLY CREEK,NYSDOT,1930,06/14/2017,SD,4.92
ego,Otsego (Town),3.6 MI NW COOPERSTOWN,28  28 94033247 OAKS CREEK,NYSDOT,1994,10/04/2016,N,6.27
ego,Otsego (Town),IN FLY CREEK,ALLISON ROAD OAKS CREEK,40 - Town,1992,09/21/2016,FO,5.56
ego,Otsego (Town),2.5 MI SE OF OAKVILLE,ALLISON ROAD FLY CREEK,40 - Town,1972,07/08/2017,N,5.00
ego,Otsego (Town),4 MI N OF FLY CREEK,COUNTY ROAD 26 FLY CREEK,30 - County,1935,08/18/2016,N,5.89
ego,Otsego (Town),3.7 MI NE OF OAKSVILLE,COUNTY ROAD 26 FLY CREEK,30 - County,1945,04/19/2017,N,6.62
ego,Otsego (Town),2.0 MI SE OF OAKSVILLE,FORK SHOP ROAD OAKS CREEK,40 - Town,1900,08/02/2017,SD,4.58
ego,Otsego (Town),0.5 N OF FLY CREEK,GOOSE STREET FLY CREEK,40 - Town,1996,09/21/2016,FO,7.00
ego,Otsego (Town),0.7 MI N OF OAKSVILLE,HOKE ROAD OAKS CREEK,40 - Town,1996,08/18/2016,FO,4.33
ego,Otsego (Town),0.7 MI N OF OAKSVILLE,HOKE ROAD OAKS CREEK,40 - Town,1996,08/18/2016,FO,4.33
ego,Otsego (Town),2.0 MI NE OF OAKSVILLE,STONE HOUSE ROAD FLY CREEK,40 - Town,2008,07/19/2016,N,5.67
ego,Pittsfield (Town),1.4 MI E JCT RTS 80 & 8,80  80 94041011 WHARTON CREEK,NYSDOT,1999,11/14/2016,N,6.45
ego,Pittsfield (Town),0.5 S OF NEW BERLIN,COUNTY ROAD 13 UNADILLA RIVER,30 - County,1933,09/22/2016,FO,4.95
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
ego,Pittsfield (Town),0.2 MI E OF NEW BERLIN,COUNTY ROAD 18 WHARTON CREEK,30 - County,2008,09/22/2016,N,6.65
ego,Plainfield (Town),0.6 MI N OF WEST EXETER,51  51 94021332 SMALL BROOK,NYSDOT,1928,05/22/2017,N,5.65
ego,Plainfield (Town),1.2 MI S UNADILLA FORKS,COUNTY ROAD 18 CAMPBELL BROOK,30 - County,1931,04/19/2017,SD,4.00
ego,Plainfield (Town),HAMLET OF UNADILLA FORKS,COUNTY ROAD 18 UNADILLA RIVER,30 - County,1934,02/27/2017,N,6.73
ego,Plainfield (Town),0.2 MI E OF LEONARDSVILLE,COUNTY ROAD 19 TRIB UNADILLA RVR,30 - County,1997,02/27/2017,N,5.94
ego,Plainfield (Town),2.8 MI S. UNADILLA FORKS,COUNTY ROAD 19 UNADILLA RIVER,30 - County,1935,04/20/2016,N,5.57
ego,Plainfield (Town),1.3 MI NW OF WEST EXETER,COUNTY ROAD 23 WHARTON CREEK,30 - County,2002,04/19/2016,N,6.35
ego,Plainfield (Town),1.6 MI SE UNADILLA FORKS,PRITCHARD RD CAMPBELL BROOK,40 - Town,1989,05/20/2016,N,4.33
ego,Plainfield (Town),1.5 MI N OF W. EXETER,SAUNDERS GULF RD. WHARTON CREEK,40 - Town,1900,04/10/2017,N,5.19
ego,Richfield Springs (Village),AT RICHFIELD SPRINGS,20  20 94151070 OCQUIONIS CREEK,NYSDOT,1929,05/18/2017,N,5.03
ego,Richfield Springs (Village),VILLAGE RICHFIELD SPRINGS,BRONNER STREET OCQUIONIS CREEK,40 - Town,1910,06/20/2017,N,5.29
ego,Richfield Springs (Village),VILLAGE OF RICHFIELD SPRI,ELM STREET OCQUIONIS CREEK,40 - Town,1975,05/31/2016,N,5.02
ego,Richfield Springs (Village),VILLAGE RICHFIELD SPRINGS,HYDE STREET OCQUIONIS CREEK,40 - Town,1910,08/07/2017,N,7.00
ego,Richfield Springs (Village),VILLAGE OF RICHFIELD SPRI,RIVER STREET OCQUIANIS CREEK,40 - Town,1900,04/17/2017,N,4.54
ego,Richfield (Town),3.3 MI S JCT RTS 28 + 20,28  28 94033319 HYDER CREEK,NYSDOT,1937,05/25/2017,N,5.27
ego,Richfield (Town),0.7 MI S JCT RTS 28 + 20,28  28 94033344 TROUT BROOK,NYSDOT,1937,05/25/2017,N,5.09
ego,Richfield (Town),1 MI S OF RICHFIELD SPRIN,ELM ST EXTENSION TROUT BROOK,40 - Town,1930,07/20/2017,SD,3.67
ego,Richfield (Town),1.5 MI W OF RT 28,GULF ROAD HYDE CREEK,40 - Town,2007,05/20/2016,N,6.67
ego,Roseboom (Town),.2 MI SE JCT SH 165 & SH1,165 165 94011001 CHERRY VALLEY CRK,NYSDOT,1955,07/25/2016,N,4.77
ego,Roseboom (Town),1.6 MI SE JCT SH 165 + 16,165 165 94011016 PLEASANT BROOK,NYSDOT,1955,07/25/2016,N,4.96
ego,Roseboom (Town),COUNTYROAD50,COUNTY ROAD 50 PLEASANT BROOK,30 - County,1934,05/01/2017,N,5.58
ego,Roseboom (Town),0.1 MI E OF NY 165,COUNTY ROAD 50 TBIB. PLEASANT BROOK,30 - County,2012,11/15/2016,N,6.39
ego,Roseboom (Town),1.0 MI NE PLEASANT BROOK,HOOSE ROAD SNYDER CREEK,40 - Town,1935,05/01/2017,N,5.00
ego,Sidney (Town),1.7 MI SW JCT I88 + SH 35,88I 88I94041000 CRANE HILL RD,NYSDOT,1975,06/07/2016,N,5.00
ego,Sidney (Town),JCT UNADILLA CONN + SUS R,991H991H94021000 SUSQUEHANNA RIVER,NYSDOT,1973,04/12/2016,N,6.29
ego,Springfield (Town),1.5 mi west of Springfiel,Bartlett Road Cripple Creek,40 - Town,2007,06/14/2016,N,7.00
ego,Springfield (Town),2. MI SW EAST SPRINGFIELD,DEAN RATHBUN ROAD SHADOW BROOK,40 - Town,2002,04/18/2016,N,6.35
ego,Springfield (Town),5 MI N OF COOPERSTOWN,GLIMMRGLASS PK RD SHADOW BROOK,26 - Central NY State Park,1966,08/07/2017,N,6.92
ego,Springfield (Town),S OF INT OF CR31 AND SR20,MILL ROAD SHADOW BROOK,40 - Town,1999,09/23/2015,N,6.05
ego,Unadilla (Town),JCT SH 7 & UNADILLA RIVER,77 94031002 UNADILLA RIVER,NYSDOT,2002,04/12/2016,N,6.84
ego,Unadilla (Town),2.6 MI NE OF UNADILLA,77 94031081 Norfolk Southern MP. 568.55,NYSDOT,1988,10/12/2016,N,6.11
ego,Unadilla (Town),3.4 MI NE OF UNADILLA,77 94031089 INDIAN CREEK,NYSDOT,1935,06/03/2015,N,4.54
ego,Unadilla (Town),4.4 MI NE OF UNADILLA,77 94031099 SAND HILL CREEK,NYSDOT,1975,05/30/2017,N,6.00
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
ego,Unadilla (Town),.5 MI E OF EAST GUILFORD,COUNTY ROAD 1 ROGERS HOLLOW BRK,30 - County,1948,06/06/2016,SD,3.57
ego,Unadilla (Town),.5 MI E OF EAST GUILFORD,COUNTY ROAD 1 UNADILLA RIVER,30 - County,1935,06/27/2017,N,5.10
ego,Unadilla (Town),HAMLET OF ROCKDALE,COUNTY ROAD 1 UNADILLA RIVER,30 - County,1989,06/22/2017,N,5.67
ego,Unadilla (Town),2 MI NE OF EAST GUILFORD,COUNTY ROAD 2 IDEUMA BROOK,30 - County,1933,08/01/2017,N,7.00
ego,Unadilla (Town),2.5 MI N OF UNADILLA,COUNTY ROAD 3 MARTIN BROOK,30 - County,1946,05/30/2017,N,5.89
ego,Unadilla (Town),.5 MI N OF UNADILLA,COUNTY ROAD 3 MARTIN BROOK,30 - County,1956,08/17/2016,SD,5.04
ego,Unadilla (Town),4.7 miles NE of Unadilla,LOVERS LANE RD SAND HILL CK,40 - Town,2012,03/13/2017,N,7.00
ego,Unadilla (Town),5.5 miles NE of Village o,SAND HILL RD SAND HILL CK,40 - Town,2012,03/13/2017,N,7.00
ego,Unadilla (Village),AT UNADILLA,77 94031047 D&H RR MP 571.81,NYSDOT,1933,07/15/2015,N,4.39
ego,Unadilla (Village),1.7 MI SW JCT RT I-88+357,88I 88I94041000 CRANE HILL ROAD,NYSDOT,1975,06/07/2016,N,5.29
ego,Unadilla (Village),JCT RTE 357+SUSQUEHANNA R,357 357 94011000 SUSQUEHANNA RIVER,NYSDOT,1935,12/08/2016,SD,4.44
ego,Unadilla (Village),VILLAGE OF UNADILLA,MARTIN BROOK ROAD MARTIN BROOK,41 - Village,1967,09/28/2016,FO,5.67
ego,Unadilla (Village),VILLAGE OF UNADILLA,TELLER STREET MARTIN BROOK,41 - Village,1967,05/30/2017,FO,5.83
ego,Unadilla (Village),VILLAGE OF UNADILLA,WEIDMAN STREET MARTIN BROOK,41 - Village,1967,05/30/2017,N,6.71
ego,Westford (Town),0.7 MI NE OF WESTFORD,COUNTY ROAD 34 ELK CREEK,30 - County,1962,07/31/2017,SD,3.52
ego,Westford (Town),.1 MI SW JCT CR34 & CR36,COUNTY ROAD 36 ELK CREEK,30 - County,1932,04/18/2017,FO,5.00
ego,Westford (Town),1.5 MI N ELK CREEK,GREENBUSH ROAD ELK CREEK,40 - Town,2007,09/22/2015,N,6.90
ego,Westford (Town),.5 MILE N OF ELK CREEK,SERAFEN ROAD ELK CREEK,40 - Town,1930,09/29/2015,N,6.23
ego,Worcester (Town),AT WORCESTER,77 94033186 PARKER CREEK,NYSDOT,1937,09/22/2015,N,4.55
ego,Worcester (Town),1.6 MI E OF WORCESTER,77 94033205 SMALL CREEK,NYSDOT,1940,06/14/2017,N,6.00
ego,Worcester (Town),1 MI W OF EAST WORCESTER,77 94033225 W HILL ROAD CREEK,NYSDOT,1940,07/24/2015,N,5.06
ego,Worcester (Town),AT EAST WORCESTER,77 94033234 OAK CREEK,NYSDOT,1940,07/16/2015,N,4.87
ego,Worcester (Town),.3 MI SOUTH OF WORCHESTER,88I 88I94063177 SO HILL ROAD CR39,NYSDOT,1979,03/20/2017,N,6.41
ego,Worcester (Town),.3 MI SOUTH OF WORCESTER,88I 88I94063177 SO HILL ROAD/CR39,NYSDOT,1979,03/20/2017,N,6.29
ego,Worcester (Town),0.7 MI E OF WORCHESTER,88I 88I94063190 SCHENEVUS CREEK,NYSDOT,1979,06/07/2017,N,6.19
ego,Worcester (Town),.7 MI E OF WORCHESTER,88I 88I94063190 SCHENEVUS CREEK,NYSDOT,1979,06/07/2017,FO,6.06
ego,Worcester (Town),2.0 MI E OF WORCESTER,88I 88I94063198 SCHENEVUS CREEK,NYSDOT,1979,09/09/2015,N,5.35
ego,Worcester (Town),1.7 MI SW OF E WORCESTER,88I 88I94063208 SCHENEVUS CREEK,NYSDOT,1979,09/06/2017,N,5.48
ego,Worcester (Town),.7 MI NE OF E WORCESTER,88I 88I94063236 Brooker Hollow Rd,NYSDOT,1979,10/15/2015,N,5.22
ego,Worcester (Town),.7 MI NE OF E WORCESTER,88I 88I94063236 Brooker Hollow Rd,NYSDOT,1979,10/15/2015,N,5.44
ego,Worcester (Town),0.6 MI E OF WORCHESTER,88I 88I94085C01 SCHENEVUS CREEK,NYSDOT,1979,05/03/2017,N,6.09
ego,Worcester (Town),0.8 MI E OF WORCHESTER,992A 992A94085B01 SCHENEVUS CREEK,NYSDOT,1979,03/30/2016,SD,6.17
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
nge,Blooming Grove (Town),BLOOMING GROVE,6  17 83101208 EX-ERIE RAILROAD,NYSDOT,1956,07/06/2017,N,5.79
nge,Blooming Grove (Town),BETWEEN EX 129-130 - US6,17  17 83101218 ORANGE-RKLND LAKE,NYSDOT,1956,11/12/2015,N,5.02
nge,Blooming Grove (Town),2.9 MI E JCT SH94 & SH17M,94  94 83011178 MIDDLETOWN & NJ R,NYSDOT,1978,11/03/2015,N,5.47
nge,Blooming Grove (Town),3.5 MI E JCT RTS 94 & 17M,94  94 83011184 CROMLINE CREEK,NYSDOT,1992,11/21/2016,N,6.33
nge,Blooming Grove (Town),0.8 MI W JCT RTS 94+208,94  94 83011223 MOODNA CREEK,NYSDOT,1976,08/31/2015,N,4.82
nge,Blooming Grove (Town),2.2 MI E JCT SH94 & SH208,94  94 83011253 TRIBUTARY TO  MOODNA,NYSDOT,1936,08/02/2017,FO,4.88
nge,Blooming Grove (Town),2.5 MI SW WASHINGTON VILL,CHERRY HILL ROAD CROMLINE CREEK,30 - County,1947,05/17/2016,FO,4.87
nge,Blooming Grove (Town),3.3 MI S OF WASHINGTONVIL,CLOVE ROAD TRIBUTARY To SATTERY,30 - County,1977,08/03/2016,N,5.21
nge,Blooming Grove (Town),1.8 MI E WASHINGTONVILLE,COUNTY ROAD 27 MOODNA CREEK,30 - County,1985,06/29/2016,FO,5.64
nge,Blooming Grove (Town),2.8 MI SW BLOOMING GROVE,CRAIGVILLE ROAD CROMLINE CREEK,30 - County,1952,04/01/2016,N,5.14
nge,Blooming Grove (Town),2.0 MI SW BLOOMING GROVE,FARMINGDALE ROAD TOMAHAWK LAKE,30 - County,1963,06/23/2016,N,4.13
nge,Blooming Grove (Town),1.5 MI SE WASHINGTONVILLE,FELTER HILL ROAD PERRY CREEK,30 - County,1970,06/29/2016,N,4.57
nge,Blooming Grove (Town),2 MI SW OF WASHINGTONVLLE,HORTON ROAD SATTERLY CREEK,30 - County,1978,08/24/2016,N,4.51
nge,Blooming Grove (Town),3.6 MI NE OF CHESTER,HUBSHOP ROAD CROMLINE CREEK,30 - County,1965,06/13/2016,N,5.33
nge,Blooming Grove (Town),0.8 MI S WASHINGTONVILLE,HUDSON ROAD SATTERLY CREEK,30 - County,1964,08/22/2016,N,4.58
nge,Blooming Grove (Town),2.6 MI SW OF BLOOMING GRV,HULSETOWN ROAD CROMLINE CREEK,30 - County,1958,08/11/2016,N,4.00
nge,Blooming Grove (Town),2.2 MI.SW.WASHINGTONVILLE,MOUNTAIN LODGE RD PERRY CREEK,30 - County,1967,11/21/2016,N,6.27
nge,Blooming Grove (Town),0.6 MI W RTE 17 INT 130,MUSEUM VILLAGE RD 17  17 83101215,NYSDOT,1956,05/08/2017,FO,5.26
nge,Blooming Grove (Town),.5 MI W JCT US 6 & SH 208,MUSEUM VILLAGE ROAD HERITAGE RAIL TRAIL,30 - County,2002,07/11/2017,FO,6.39
nge,Blooming Grove (Town),AT SH 17/US 6 EXIT 128,OXFORD ROAD 17  17 83101202,NYSDOT,2002,03/13/2017,FO,5.89
nge,Blooming Grove (Town),1.1 MI SE WASHINGTONVILLE,PERRY CREEK ROAD PERRY CREEK,40 - Town,1987,09/09/2016,N,6.13
nge,Blooming Grove (Town),2.3 MI SW WASHINGTONVILLE,ROUND HILL ROAD SATTERLY CREEK,30 - County,1955,11/15/2016,SD,4.38
nge,Blooming Grove (Town),2.2 MI W WASHINGTONVILLE,TUTHILL ROAD CROMLINE CREEK,30 - County,2008,06/01/2016,N,6.87
nge,Blooming Grove (Town),0.9MI SE WASHINGTONVILLE,WOODCOCK MOUNTAIN RD PERRY CREEK,40 - Town,1987,11/01/2016,N,5.00
nge,Chester (Town),2.7 MI E JCT RTS 17+94,6  17 83101192 SEELY BROOK,NYSDOT,1956,11/18/2015,N,4.63
nge,Chester (Town),0.6 MI N JCT RTS 17M & 94,17M 17M83013098 BLACK MEADOW CRK,NYSDOT,1994,11/22/2016,N,6.13
nge,Chester (Town),3.2 MI W JCT RTS 17M+208,17M  17M83013137 SEELY BROOK,NYSDOT,1935,05/19/2015,N,6.14
nge,Chester (Town),3.3 MI SE OF CHESTER,BULL MILL ROAD TROUT BROOK,30 - County,2012,09/28/2016,N,7.00
nge,Chester (Town),3.2 MI SW OF MONROE,COUNTY ROAD 45 TROUT BROOK,30 - County,2006,10/26/2016,N,6.22
nge,Chester (Town),WEST OF CHESTER TOWN LINE,GREYCOURT RD HERITAGE TRAIL,30 - County,1980,11/08/2016,N,4.51
nge,Chester (Town),1 MI NW OF CHESTER,HAMBLETONIAN AVE BLACK MEADOW CREEK,30 - County,2002,03/17/2015,N,6.23
nge,Chester (Town),1 MILE EAST OF CHESTER,OLD OXFORD ROAD SEELY BROOK,30 - County,1991,05/13/2016,N,5.91
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
nge,Chester (Town),3.4 MI SW OF MONROE,TROUT BROOK ROAD TROUT BROOK,30 - County,1968,10/26/2016,N,6.54
nge,Chester (Village),JCT SH 94 & US6 / SH17,66 83101165 BLACK MEADOW CRK,NYSDOT,2009,10/14/2015,FO,6.11
nge,Chester (Village),JCT SH 17 & SH 94,6  17 83011165 West Road,NYSDOT,2008,05/05/2015,N,6.58
nge,Chester (Village),.9 MI E JCT SH 17 & SH 94,6  17 83101173 MIDDLETOWN & NJ R,NYSDOT,1956,12/04/2015,N,4.79
nge,Chester (Village),1.0 MI E JCT RTS 17+94,17  17 83011173 COUNTY ROAD 13,NYSDOT,1956,05/31/2017,N,6.03
nge,Chester (Village),.6 MI S JCT SH17M & SH 94,17M 17M83013119 NOR SO/NJ TRANSIT,NYSDOT,1941,11/16/2016,SD,3.89
nge,Chester (Village),1.3 MI E JCT SH 17 & SH94,17M 17M83013121 17  17 83101177,NYSDOT,2006,07/18/2016,N,6.36
nge,Chester (Village),JCT SH 17 & SH 94,9494 83011046 617 83101169,NYSDOT,2004,09/08/2016,N,5.17
nge,Chester (Village),.3 MI SE JCT SH 17 & SH94,9494 83011354 BLACK MEADOW CRK,NYSDOT,2004,10/28/2016,N,6.26
nge,Chester (Village),0.6 MI FROM CHESTER OFF94,CHESTER BOULEVARD BLACK MEADOW CREEK,41 - Village,1989,04/19/2016,SD,2.97
nge,Chester (Village),1.4 MI JCT SH 17M & SH 94,ELIZABETH DRIVE TRB BLK MEADW CRK,41 - Village,1985,10/21/2015,N,5.15
nge,Chester (Village),.1 MI W JCT SH 94 & SH17M,WEST AVE. BLACK MEADOW CRK,NYSDOT,2008,11/17/2016,N,6.65
nge,Cornwall On Hudson,0.4 MI E JCT RTS 218 & 9W,218 218 83011101 IDLEWILD CREEK,NYSDOT,1996,06/15/2016,N,5.02
nge,Cornwall On Hudson,AT CORNWALL,MOUNTAIN ROAD BOULEVARD CREEK,40 - Town,1930,09/21/2016,FO,7.00
nge,Cornwall On Hudson,CORNWALL LANDING,SHORE ROAD DOCK HILL CREEK,40 - Town,1997,08/14/2017,N,6.00
nge,Cornwall (Town),8.3 MI N JCT RTS 9W + 293,9W  9W83021129 218 218 83011106,NYSDOT,1941,04/13/2015,N,5.11
nge,Cornwall (Town),1.6 MI S JCT RTS 32+94,32  32 83011099 MOODNA CREEK,NYSDOT,1932,10/30/2015,N,5.23
nge,Cornwall (Town),1.2 MI S JCT SH 94 & I87,87IX ABAND. RR (NY ONT AND,2L - NYS Thruway Authority,1953,05/10/2016,N,5.82
nge,Cornwall (Town),3.0 MI S JCT RTS 94<I87,87IX MOODNA CREEK,2L - NYS Thruway Authority,1953,04/21/2017,N,4.73
nge,Cornwall (Town),4.6 MI N JCT US9W & SH293,9W9W83021103 BLACK FOREST CRK,NYSDOT,1937,10/14/2015,N,4.76
nge,Cornwall (Town),7 MI N JCT US 9W & SH 293,9W9W83021116 CR 107-QUAKER AVE,NYSDOT,1941,09/03/2015,SD,4.27
nge,Cornwall (Town),6.6 MI N JCT RTS 9W+293,ANGOLA ROAD 9W  9W83021111,NYSDOT,1941,07/20/2016,SD,3.93
nge,Cornwall (Town),1.5 MI SW OF CORNWALL,BOULEVARD ROAD IDLEWILD CREEK,40 - Town,1920,11/16/2016,N,4.65
nge,Cornwall (Town),4.4 MI SW OF CORNWALL,CREAMERY HILL ROA WOODBURY CREEK,30 - County,1910,06/08/2016,SD,3.49
nge,Cornwall (Town),1.1 MI W  OF CORNWALL,HASBROUCK AVENUE IDLEWILD CREEK,30 - County,1940,10/19/2016,SD,3.84
nge,Cornwall (Town),0.9 MI W OF CORNWALL,MAIN STREET IDLEWILD CREEK,30 - County,1929,11/30/2016,SD,3.62
nge,Cornwall (Town),1.0 MI W OF CORNWALL,MAIN STREET CR9 IDLEWILD CREEK,30 - County,1929,10/18/2016,SD,4.07
nge,Cornwall (Town),1.5 MI SO JCT RTS 94 &I87,ORRS MILLS ROAD 87IX,2L - NYS Thruway Authority,1993,08/20/2015,N,5.22
nge,Cornwall (Town),3.3 MI E WASHINGTONVILLE,OTTERKILL ROAD MOODNA CREEK,30 - County,1966,11/30/2016,N,5.00
nge,Cornwall (Town),2.7 MI S JCT RTS 94<I87,PLEASANT HILL RD 87IX,2L - NYS Thruway Authority,1953,05/11/2016,SD,6.17
nge,Cornwall (Town),2.7 MI SW OF CORNWALL,PLEASANT HILL RD MOODNA CREEK,30 - County,1969,07/12/2016,N,5.74
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
nge,Cornwall (Town),0.8 MI N OF CORNWALL,SHORE ROAD IDLEWILD CREEK,30 - County,1962,10/19/2016,N,5.21
nge,Cornwall (Town),3.3 MI S JCT SH94 & I87,TAYLOR RD 87IX,2L - NYS Thruway Authority,1953,06/15/2016,FO,5.26
nge,Cornwall (Town),4.2 MI SW OF CORNWALL,TAYLOR ROAD WOODBURY CREEK,40 - Town,2016,12/19/2016,SD,7.00
nge,Cornwall (Town),1.0 MI W OF CORNWALL,WILLOW AVENUE IDLEWILD CREEK,30 - County,2015,07/20/2016,N,7.00
nge,Cornwall (Town),.6 MI SW JCT US9W & SH218,WILLOW AVENUE 9W  9W83021122,NYSDOT,1941,05/18/2017,SD,4.65
nge,Crawford (Town),0.5 MI W JCT RTS 17K+302,17K 17K83011029 PAKANASINK CREEK,NYSDOT,1958,07/01/2015,N,4.81
nge,Crawford (Town),1.1 MI E JCT SH17K &SH302,17K 17K83011045 DWAAR KILL,NYSDOT,1924,08/26/2015,N,5.41
nge,Crawford (Town),1.3 MI NE THOMPSON RIDGE,BRUYN AVENUE PAKANASINK CREEK,40 - Town,1928,04/13/2017,SD,3.15
nge,Crawford (Town),1.2 MI NORTH OF BULLVILLE,BURLINGHAM ROAD PAKANASINK CREEK,40 - Town,1991,04/12/2016,N,5.33
nge,Crawford (Town),1.3 MI SE THOMPSON RIDGE,COLLABAR ROAD DWAAR KILL,30 - County,2004,10/25/2016,N,5.33
nge,Crawford (Town),1.9 MI SE THOMPSON RIDGE,COUNTY ROAD 17 DWAAR KILL,30 - County,2012,11/17/2016,N,6.30
nge,Crawford (Town),2.7 MI NW THOMPSON RIDGE,COUNTY ROAD 48 SHAWANGUNK KILL,30 - County,1965,07/14/2016,N,4.47
nge,Crawford (Town),2.2 MI NW THOMPSON RIDGE,CRAWFORD STREET SHAWANGUNK KILL,30 - County,1975,11/02/2016,FO,4.33
nge,Crawford (Town),07 MI N OF PINE BUSH,HARDENBURG ROAD SHAWANGUNK KILL,30 - County,1991,09/17/2015,N,5.29
